species,id,number,fl,tl,wt,direction,us_clip,ds_clip,date
Yellow Perch,,16,90,95,115.4,Downstream,,,2029-09-23
Yellow Perch,,6,100,105,70.6,Downstream,,,2029-09-23
Yellow Perch,,16,105,110,154.6,Downstream,,,2029-09-23
Yellow Perch,,19,91,96,161.9,Downstream,,,2029-09-23
Yellow Perch,,2,131,138,42.9,Downstream,,,2029-09-23
Yellow Perch,,23,90,94,194.6,Downstream,,,2029-09-23
Yellow Perch,,10,95,99,81.4,Downstream,,,2029-09-23
Yellow Perch,,1,85,90,5,Downstream,,,2029-09-23
Yellow Perch,,1,58,62,2,Downstream,,,2029-09-23
Yellow Perch,,20,103,108,170.6,Downstream,,,2029-09-23
Yellow Perch,,3,85,99,20.4,Downstream,,,2029-09-23
Yellow Perch,,1,84,89,7,Downstream,,,2029-09-23
Common Shiner,,1,137,150,29.5,Upstream,,,2029-09-23
Common Shiner,,1,106,117,11.9,Upstream,,,2029-09-23
Common Shiner,,1,106,118,11.9,Upstream,,,2029-09-23
Common Shiner,,1,105,115,11.3,Upstream,,,2029-09-23
Common Shiner,CR5-023-CS-1,1,115,127,17.6,Upstream,,,2029-09-23
Common Shiner,CR5-023-CS-2,1,96,107,9.5,Upstream,,,2029-09-23
Common Shiner,,1,89,99,7.1,Upstream,,,2029-09-23
Common Shiner,,1,105,114,12,Upstream,,,2029-09-23
Common Shiner,,1,88,98,7.8,Upstream,,,2029-09-23
Common Shiner,,1,95,105,8.6,Upstream,,,2029-09-23
Common Shiner,,1,98,107,9.5,Upstream,,,2029-09-23
Common Shiner,,1,67,74,3.1,Upstream,,,2029-09-23
Common Shiner,,1,90,101,7.2,Upstream,,,2029-09-23
Common Shiner,,1,91,101,7.5,Upstream,,,2029-09-23
Common Shiner,,1,87,97,6.1,Upstream,,,2029-09-23
Creek Chub,,1,138,146,25.1,Upstream,,,2029-09-23
Creek Chub,,1,121,130,17.2,Upstream,,,2029-09-23
Creek Chub,,1,120,128,16.5,Upstream,,,2029-09-23
Creek Chub,,1,80,87,5.3,Upstream,,,2029-09-23
Creek Chub,,1,80,86,5.1,Upstream,,,2029-09-23
Northern Pearl Dace,CR5-023-PD1,1,100,106,9.2,Upstream,,,2029-09-23
Northern Pearl Dace,CR5-023-PD-2,1,107,114,11.3,Upstream,,,2029-09-23
Pumpkinseed,,1,90,95,14.8,Upstream,,,2029-09-23
White Sucker,,1,150,161,40,Upstream,,,2029-09-23
White Sucker,,1,128,136,21.7,Upstream,,,2029-09-23
White Sucker,,1,127,135,25.1,Upstream,,,2029-09-23
Yellow Perch,,1,87,91,6.1,Upstream,,,2029-09-23
